IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0804 50 00;Guawa, mango i smaczelina, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 10 22;Pomarańcze pępkowe, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 10 24;Pomarańcze białe, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 10 28;Pomarańcze słodkie, świeże (z wył. Pępkowych I białych;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 10 80;Pomarańcze, świeże lub suszone (z wył. świeżych pomarańcz słodkich);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 21 10;Satsuma, świeże lub suszone  ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 21 90;Mandarynki, włącz. z tangerynami, świeże lub suszone  (z wył. klementynek i satsuma);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 22 00;Klementynki, włącz. z monrealesami, świeże lub suszone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 29 00;Wilkingi i podobne hybrydy cytrusowe, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 40 00;Grejpfruty i pomelo, świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 50 10;Cytryny "Citrus limon, Citrus limonum", świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 50 90;Limony "Citrus aurantifolia, Citrus latifolia", świeże lub suszone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0805 90 00;Owoce cytrusowe, świeże lub suszone (z wył. pomarańcz, cytryn "Citrus limon, Citrus limonum" i limonów "Citrus aurantifolia, Citrus latifolia", grejpfrutów, pomelo, mandarynek, włącz. z tangerynami i satsuma, klementynkami, wilkingami i podobnymi hybrydami cytrusowymi);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0806 10 10;Winogrona stołowe, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0806 10 90;Winogrona świeże (z wył. winogron stołowych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0807 11 00;Arbuzy, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0807 19 00;Melony, świeże (z wył. arbuzów);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
