IdUprawa_RodzajUprawa;IdUprawa;IdRodzajUprawa;NazwaUprawa_RodzajUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.71.0_703;01.11.71.0;703;Fasola, suszona bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.72.0_701;01.11.72.0;701;Bób i bobik, suszone na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.73.0_701;01.11.73.0;701;Ciecierzyca (cieciorka), suszona na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.74.0_703;01.11.74.0;703;Soczewica, suszona bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.75.0_701;01.11.75.0;701;Groch, suszony na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.76.0_701;01.11.76.0;701;Fasolnik chiński, suszony na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.77.0_703;01.11.77.0;703;Nikla indyjska, suszona bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.79.0_702;01.11.79.0;702;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.81.0_701;01.11.81.0;701;Nasiona soi na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.82.0_702;01.11.82.0;702;Orzeszki ziemne w łupinach pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.91.0_702;01.11.91.0;702;Nasiona lnu pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.92.0_702;01.11.92.0;702;Nasiona gorczycy pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.93.0_701;01.11.93.0;701;Nasiona rzepaku i rzepiku na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.94.0_703;01.11.94.0;703;Nasiona sezamu bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.95.0_703;01.11.95.0;703;Nasiona słonecznika bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.96.0_703;01.11.96.0;703;Nasiona rącznika bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:38;Darek Osuch;;
01.11.99.0_701;01.11.99.0;701;Pozostałe nasiona oleiste, gdzie indziej niesklasyfikowane na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:38;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.12.10.0_702;01.12.10.0;702;RYŻ NIEŁUSKANY pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.11.0_701;01.13.11.0;701;Szparagi na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
